field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
ae_ae,adverse_events,,notes,"Adverse Event Description",,,,,,,,,,,,,
ae_start,adverse_events,,text,"Start Date",,,date_mdy,,,y,,,,,,,
ae_ae_stop,adverse_events,,text,"Stop Date",,"Provide a stop date if the adverse event is over",date_mdy,,,y,,,,,,,
ae_severity,adverse_events,,radio,"Is this event serious?","1, Yes | 0, No",,,,,,,,,,,,
ae_unexpected,adverse_events,,radio,"Is the event unexpected or unanticipated?","1, Yes | 0, No",,,,,,,,,,,,
ae_related,adverse_events,,dropdown,"In the PI's opinion, is the event:","1, Related to the Study | 2, The Relationship Cannot be Ruled Out (possibly related) | 3, Not Related to the Study",,,,,,,,,,,,
ae_action,adverse_events,,dropdown,"Action Taken","0, None | 1, Study intervention interrupted | 2, Study intervention modified | 3, Study intervention discontinued",,,,,,,,,,,,
ae_outcome,adverse_events,,dropdown,Outcome,"1, Not recovered/not resolved | 2, Recovered/resolved | 3, Recovered/resolved with sequelae | 4, Recovering/resolving | 5, Death | 99, Unknown",,,,,,,,,,,,
ae_reporting,adverse_events,,radio,"Is this the first time you're reporting this event, or is this a follow-up?","1, Initial Report | 2, Follow-Up",,,,,,,,,,,,
ae_followup,adverse_events,,text,"What report number is this following-up?",,,,,,,"[ae_reporting] = ""2""",,,,,,
ae_local,adverse_events,,radio,"Did the event occur to a locally enrolled subject, or were they non-local?","1, Non-Local | 2, Local",,,,,,,,,,,,
ae_va,adverse_events,,radio,"Did the event involve a subject enrolled in a study conducted on VA premises?","1, Yes | 0, No","Either veteran or non-veteran subject.",,,,,"[ae_local] = ""2""",,,,,,
ae_care,adverse_events,,text,"Where was care provided?",,,,,,,,,,,,,
ae_carepayer,adverse_events,,text,"Who is financially responsible for this care?",,,,,,,,,,,,,
ae_reported,adverse_events,,radio,"Have you reported this event to the study sponsor?","1, Yes | 0, No | 2, N/A",,,,,,,,,,,,
ae_risk,adverse_events,,radio,"In the PI's opinion, does this event change the risk/benefit ratio of the study?","1, Yes | 0, No",,,,,,,,,,,,
ae_riskchange,adverse_events,,notes,"Please explain how this changes the risk/benefit:",,,,,,,"[ae_risk] = ""1""",,,,,,
ae_happened,adverse_events,,radio,"Has this type of event happened before in connection with this research study?","1, Yes | 0, No",,,,,,,,,,,,
ae_desc_prev,adverse_events,,notes,"Please explain previous occurrences of this event:",,,,,,,"[ae_happened] = ""1""",,,,,,
ae_form_changes,adverse_events,,radio,"Will this event require changes in the Informed Consent Form or research procedures?","1, Yes | 0, No",,,,,,,,,,,,
ae_no_changes,adverse_events,,notes,"Justify why no changes are needed:",,,,,,,"[ae_form_changes] = ""0""",,,,,,
ae_notify,adverse_events,,radio,"Will you notify all subjects currently enrolled in this research study?","1, Yes | 0, No",,,,,,,,,,,,
ae_procedures,adverse_events,,notes,"Explain the procedures that you intend to use to notify all subjects:",,,,,,,"[ae_notify] = ""1""",,,,,,
ae_future,adverse_events,,radio,"Are there steps that can be taken to minimize risk of similar occurrence in the future?","1, Yes | 0, No",,,,,,,,,,,,
ae_steps,adverse_events,,notes,"Please explain these steps:",,,,,,,"[ae_future] = ""1""",,,,,,
ae_fda,adverse_events,,radio,"Have you reported this event to the FDA?","1, Yes | 0, No | 2, N/A",,,,,,,,,,,,
ae_details,adverse_events,,notes,"Please provide any additional details that you consider important:",,,,,,,,,,,,,
ae_code,adverse_events,"<div class=""green"" style=""text-align:center;""><h1 style=""text-align:center;"">Provide coded values for the information above</h1>",text,"Adverse Event Code in MEDDRA based on the AE Description",BIOPORTAL:MEDDRA,"Enter a MEDDRA description or code",,,,,,,,,,,
